timestamp,Average Flow Duration - s1,Average Flow Duration - s2,Average Flow Duration - s3,Average Flow Duration - s4,Average Flow Duration - s5,Average Packets Per Flow - s1,Average Packets Per Flow - s2,Average Packets Per Flow - s3,Average Packets Per Flow - s4,Average Packets Per Flow - s5,Bridge Controller Status,CPU Utilization,Interface Utilization Percentage - s1-eth1,Interface Utilization Percentage - s1-eth2,Interface Utilization Percentage - s1-eth3,Interface Utilization Percentage - s1-eth4,Interface Utilization Percentage - s1-eth5,Interface Utilization Percentage - s1-eth6,Interface Utilization Percentage - s1-eth7,Interface Utilization Percentage - s2-eth1,Interface Utilization Percentage - s2-eth2,Interface Utilization Percentage - s2-eth3,Interface Utilization Percentage - s2-eth4,Interface Utilization Percentage - s2-eth5,Interface Utilization Percentage - s2-eth6,Interface Utilization Percentage - s2-eth7,Interface Utilization Percentage - s2-eth8,Interface Utilization Percentage - s3-eth1,Interface Utilization Percentage - s3-eth2,Interface Utilization Percentage - s3-eth3,Interface Utilization Percentage - s3-eth4,Interface Utilization Percentage - s3-eth5,Interface Utilization Percentage - s3-eth6,Interface Utilization Percentage - s3-eth7,Interface Utilization Percentage - s3-eth8,Interface Utilization Percentage - s4-eth1,Interface Utilization Percentage - s4-eth2,Interface Utilization Percentage - s4-eth3,Interface Utilization Percentage - s4-eth4,Interface Utilization Percentage - s4-eth5,Interface Utilization Percentage - s4-eth6,Interface Utilization Percentage - s4-eth7,Interface Utilization Percentage - s4-eth8,Interface Utilization Percentage - s5-eth1,Interface Utilization Percentage - s5-eth2,Interface Utilization Percentage - s5-eth3,Interface Utilization Percentage - s5-eth4,Interface Utilization Percentage - s5-eth5,Interface Utilization Percentage - s5-eth6,Interface Utilization Percentage - s5-eth7,Rate of Packet in Messages - s1,Rate of Packet in Messages - s2,Rate of Packet in Messages - s3,Rate of Packet in Messages - s4,Rate of Packet in Messages - s5,Rate of Port Flapping - s1,Rate of Port Flapping - s2,Rate of Port Flapping - s3,Rate of Port Flapping - s4,Rate of Port Flapping - s5
2025-04-02 10:35:47,0,0,0,0,0,0,0,0,0,0,1,4.5,3.3580165487468523e-07,7.961253014616728e-08,4.3207951926023646e-07,2.499233854312401e-07,1.1201049952698833e-07,3.4767025089605736e-07,0.0000011584822320821841,1.5929501272468056e-07,9.948235200063959e-08,2.0027714487481847e-07,1.302914018467442e-07,1.885850954684148e-07,2.0750556288390565e-07,0.000001160747358462912,0.0000015629571891114045,8.2020892459794e-08,2.112263660710717e-07,3.1052217825212186e-08,1.4755632836337957e-07,9.107140477808424e-09,2.7419354838709676e-07,0.0000015813246992045408,0.0000017476182862320289,2.383878962305632e-07,1.3297624282154802e-07,5.7323686559806e-07,3.71167606027901e-07,1.0466882519886478e-07,2.462658725400061e-08,0.0000017301301781455276,0.0000015842693634994868,2.123122943065382e-07,3.556947942066062e-07,3.561178398688892e-07,5.163355584868956e-07,2.1883785692395839e-07,6.354212468854513e-07,0.0000015944890807584178,59.95562335573168,88.02398737690042,91.81877785062485,86.20579375609596,59.2255910685905,0,0,0,0,0
2025-04-02 10:35:57,2,2.2,2.625,3.5,4.666666666666667,1.3333333333333333,1.6666666666666667,2.5,3,4,1,4.5,1.9106333333333334e-07,2.85e-08,2.1000666666666664e-07,1.3855333333333333e-07,4.489333333333334e-08,1.4514e-07,5.427933333333334e-07,6.412666666666666e-08,5.629666666666667e-08,9.966666666666667e-08,7.282666666666668e-08,1.1287999999999999e-07,8.38e-08,5.405266666666666e-07,7.752933333333334e-07,3.246e-08,1.0324e-07,1.1906666666666666e-08,1.3212e-07,1.0886666666666668e-08,1.7458666666666666e-07,7.764266666666668e-07,8.750266666666665e-07,1.3782666666666666e-07,6.104e-08,2.6032666666666663e-07,1.6696666666666667e-07,4.966666666666667e-08,1.3880000000000001e-08,8.761600000000001e-07,7.879400000000001e-07,1.0030333333333335e-07,1.6160333333333334e-07,1.606e-07,2.747133333333333e-07,1.2564e-07,3.0054666666666666e-07,7.8114e-07,60.10998672574,87.3480786801593,90.60975399520748,83.26926060647854,57.479269743306844,0,0,0,0,0
2025-04-02 10:36:07,7.166666666666667,8.88888888888889,8.6,8.307692307692308,7.714285714285714,3,14,10.333333333333334,4.153846153846154,4,1,4.5,1.1017096765549214e-08,1.1251574349492188e-08,1.1760725674625504e-08,1.1017096765549214e-08,1.30336039874588e-08,1.3777232896535092e-08,2.2844816035587e-08,1.1017096765549214e-08,1.2256478280676367e-08,1.1017096765549214e-08,6.535560200444837e-08,1.1017096765549214e-08,1.1017096765549214e-08,2.2844816035587e-08,7.91663316986896e-08,6.814923493314038e-08,1.2537851381407936e-08,1.3562853391215799e-08,1.3314977088190369e-08,1.1298469866280784e-08,1.1298469866280784e-08,7.91663316986896e-08,3.2297612348259507e-08,1.1298469866280784e-08,1.278572768443337e-08,1.1298469866280784e-08,1.5297987512393813e-08,1.278572768443337e-08,1.2323471876088647e-08,3.2297612348259507e-08,2.5357075863547444e-08,1.2289975078382506e-08,1.1298469866280784e-08,1.3562853391215799e-08,1.5083608007074524e-08,1.1298469866280784e-08,1.3314977088190369e-08,2.5357075863547444e-08,61.406896551724145,90.64137931034483,95.45517241379311,87.43793103448277,59.441379310344836,0,0,0,0,0
2025-04-02 10:36:17,12.3,14,16.9375,16.5,13.666666666666666,17.6,29,22.75,11.857142857142858,8.333333333333334,1,4.5,1.1786430938047903e-08,1.379305747218389e-08,1.4253048272367887e-08,1.1786430938047903e-08,4.708572495216762e-08,5.843883122337553e-08,1.0132464017386318e-07,1.1786430938047903e-08,1.3266401338639893e-08,1.1786430938047903e-08,1.493970120597588e-07,1.1786430938047903e-08,1.1786430938047903e-08,1.0245795084098318e-07,1.890695519422945e-07,1.2555082231688702e-07,1.477970440591188e-08,1.4566375339159883e-08,1.4319713605727885e-08,1.2066425338159903e-08,1.2066425338159903e-08,1.890695519422945e-07,8.823156870195929e-08,1.2066425338159903e-08,1.379305747218389e-08,1.2066425338159903e-08,4.9585674953167605e-08,1.379305747218389e-08,1.4319713605727885e-08,8.79849069685273e-08,4.6059078818423636e-08,1.3299734005319893e-08,1.2559748805023899e-08,1.4566375339159883e-08,3.311267107991174e-08,1.3086404938567895e-08,1.533969320613588e-08,4.492576815130364e-08,59.51724137931035,88.91724137931035,94.44827586206898,86.6344827586207,58.386206896551734,0,0,0,0,0
2025-04-02 10:36:27,16.555555555555557,14.117647058823529,13.636363636363637,14.333333333333334,10.625,46.77777777777778,46.44444444444444,32.31818181818182,22.666666666666668,16.25,1,4.5,2.3649503993077275e-09,5.209235007715084e-09,5.942334386338045e-09,3.8417227052837906e-09,7.841506915773523e-08,1.572945705269889e-07,2.3286665749197218e-07,4.97309241940865e-09,4.987190484382167e-09,4.948420805704992e-09,2.515305634096501e-07,3.905475082363735e-08,3.3200943012636056e-09,2.3394693745916564e-07,3.4842946175125455e-07,1.8523926004698558e-07,6.051594389882814e-09,6.012824711205638e-09,4.3744195893629147e-08,4.708753701155177e-09,5.702667281788231e-09,3.4842946175125455e-07,1.8094158471996332e-07,2.4142936267150422e-09,4.948420805704992e-09,3.616153665707494e-09,8.268280453730348e-08,5.4418530797781384e-09,6.636664086283832e-09,1.8094158471996332e-07,1.0650394039228769e-07,4.86735693210726e-09,5.050928437382709e-08,7.95835767755119e-09,9.275737436923974e-08,4.9206834730389084e-08,9.530291922098503e-09,1.0650394039228769e-07,59.51338266632644,88.51663091978678,93.76487058709941,84.69941586609748,58.65821615023346,0,0,0,0,0
2025-04-02 10:36:37,15.052631578947368,14.71875,14.117647058823529,12.923076923076923,11.85,40.833333333333336,43.75,36.61764705882353,27.14814814814815,30,1,4.5,7.588797267365838e-09,7.798948576308278e-09,7.225202145544794e-09,5.003602593867585e-09,1.1463566590167144e-07,2.585778896360935e-07,3.726669669384178e-07,5.76081445307288e-09,5.527312998692393e-09,1.1268113041389803e-08,3.575297334080538e-07,1.0090800331794447e-07,3.936167373842501e-09,3.758263116666222e-07,5.501820023750432e-07,2.984191233799447e-07,6.007658847703682e-09,6.991700691164306e-09,1.052591198996611e-07,6.498011901902704e-09,8.919755557334616e-09,5.501820023750432e-07,3.3237305993648766e-07,2.565180263122782e-09,4.963573773116645e-09,4.936887892616018e-09,1.1542481053024844e-07,5.6113735222693684e-08,5.724454940890775e-08,3.2921371520828333e-07,2.20166763736557e-07,4.886851866677343e-09,1.1965596490584332e-07,8.799669095081794e-09,2.0025390803600814e-07,1.1767971539508445e-07,1.1308141862140742e-08,2.20166763736557e-07,58.59655172413794,88.94482758620691,95.24827586206898,85.51379310344828,61.16896551724139,0,0,0,0,0
2025-04-02 10:36:47,18.24,19.916666666666668,21.11764705882353,18.133333333333333,18.227272727272727,59.64,66.37837837837837,64.62857142857143,51.1,58.59090909090909,1,4.5,1.1470666666666668e-07,6.631e-08,6.0566666666666675e-09,6.0566666666666675e-09,1.8833815755555559e-07,3.8334695400000007e-07,7.267288368888888e-07,6.470000000000001e-09,6.113333333333333e-09,1.4801377088888887e-07,4.7452500422222215e-07,1.6403822377777775e-07,4.776666666666667e-09,7.405481466666667e-07,9.142130448888887e-07,4.1483406777777784e-07,5.956666666666667e-09,4.979e-08,1.6806242111111111e-07,5.486333333333334e-08,8.47e-09,9.020042328888889e-07,6.341577973333332e-07,2.9833333333333336e-09,5.483333333333333e-09,3.996666666666667e-09,1.5111227355555554e-07,1.2831000000000002e-07,1.3115482155555554e-07,6.331047795555556e-07,4.863210906666667e-07,4.946666666666667e-09,2.5516237644444444e-07,3.577666666666667e-08,3.475769575555555e-07,1.8840424688888886e-07,3.3036666666666664e-08,4.821090195555555e-07,61.686845036327966,91.98715848784643,98.00791042665959,88.75609058024739,62.7489249888792,0,0,0,0,0
2025-04-02 10:36:57,25.962962962962962,25.555555555555557,25.121951219512194,25.3125,22.566666666666666,853.6296296296297,533.5957446808511,87.36585365853658,83.28125,79.41379310344827,1,4.5,2.5518427948107707e-07,0.000026562593936954595,5.966547335719952e-09,6.953194269447945e-09,3.0353522679546407e-07,5.255413563395399e-07,0.000027615746155521334,0.000027842106403705263,6.639867202655947e-09,3.013674767060214e-07,6.278874422511549e-07,2.2952213005739887e-07,7.678513096404739e-08,0.000028977462928741426,0.0000014642774052296732,4.911301773964521e-07,4.5999080018399635e-09,1.0826450137663912e-07,2.3145865610465566e-07,1.5364238298567364e-07,9.106484536975926e-09,0.000001455593279356635,0.000001131160096909173,2.626614134383979e-09,5.653220268927954e-09,4.353246268407966e-09,1.8367419579386186e-07,1.9932456600867984e-07,2.3614298730692051e-07,0.000001131160096909173,9.187260620343149e-07,8.74649173683193e-09,4.3627909025152825e-07,9.599808003839922e-08,4.878991868495963e-07,2.9266272613436623e-07,1.1799097351386305e-07,9.081960948558806e-07,63.73815082120973,93.71066796782058,95.9037789785482,89.67961958489512,64.77263714702465,0,0,0,0,0
2025-04-02 10:37:07,30,27.954545454545453,25.609756097560975,27.6875,31.076923076923077,1896.625,1048.111111111111,90.73170731707317,97.75,113.03846153846153,1,4.5,3.959205872549216e-07,0.00005643991403705259,5.736551935627954e-09,8.219502276621134e-08,3.72442551148977e-07,5.848983020339593e-07,0.00005785117858609494,0.0000563353863079405,6.343206469203949e-09,4.5365370659253484e-07,6.543969120617588e-07,3.033964657373519e-07,1.7373386298940687e-07,0.0000578584407841843,0.000002021919561608768,5.01673299867336e-07,2.5766151343639793e-09,1.6806663866722668e-07,2.9579557908841827e-07,2.6618162403418597e-07,3.802257288187569e-08,0.000002019652940274528,0.0000016461219558942154,1.8032972673879855e-09,4.5832416684999636e-09,6.8031972693879445e-09,1.504736571935228e-07,2.687106351206309e-07,3.4675879182416345e-07,0.0000016440396558735493,0.0000013906613377732444,9.271481237041926e-08,5.988012809743804e-07,1.5555355559555476e-07,5.940708699159349e-07,3.762730172063225e-07,2.0598581428371434e-07,0.0000013844520986246941,63.64827586206897,95.97241379310346,97.64827586206897,91.78275862068966,66.16551724137932,0,0,0,0,0
2025-04-02 10:37:17,29.7,27.954545454545453,29.61904761904762,27.093023255813954,27.424242424242426,111.85,1048.111111111111,106.95238095238095,96.09302325581395,94.70588235294117,1,4.5,4.87858225111111e-07,0.00005656871187888888,8.13e-09,1.5577587577777776e-07,3.8345e-07,5.295166666666667e-07,0.000058222278087999994,0.00005638853248822222,5.53e-09,5.731028935555554e-07,6.2763e-07,4.0770333333333335e-07,3.0681969222222215e-07,0.00005822743460355555,0.00000255154,4.989566666666667e-07,2.503333333333333e-09,2.2344548866666665e-07,2.7673e-07,3.7729184911111113e-07,1.1127000000000002e-07,0.0000025447400000000002,0.0000022366533333333334,2.2233333333333333e-09,5.25e-09,7.557666666666667e-08,1.1262333333333334e-07,3.052275593333333e-07,4.216544055555556e-07,0.0000022332533333333336,0.0000019047813044444444,2.1440058555555553e-07,7.655311153333331e-07,2.1267332599999998e-07,6.149233333333333e-07,3.9371000000000005e-07,2.882442286666666e-07,0.0000019026752688888887,64.48209156457003,97.20589097354166,99.7920711165057,92.14042613352277,66.8544808157157,0,0,0,0,0
